Date,MSFT,INTC,KO,WMT
2018-10-25,108.300003,44.310001,46.509997999999996,99.18
2018-10-26,106.959999,45.689999,45.919998,98.940002
2018-10-29,103.849998,45.400002,46.459998999999996,99.800003
2018-10-30,103.730003,47.759997999999996,47.630001,102.41999799999999
2018-10-31,106.809998,46.880001,47.880001,100.279999
2018-11-01,105.91999799999999,48.220001,47.740002000000004,100.58000200000001
2018-11-02,106.160004,47.110001000000004,48.0,101.339996
2018-11-05,107.510002,47.970001,48.689999,102.910004
2018-11-06,107.720001,47.25,49.110001000000004,103.33000200000001
2018-11-07,111.959999,48.720001,49.369999,104.32
2018-11-08,111.75,48.990002000000004,49.330002,104.879997
2018-11-09,109.57,48.110001000000004,49.68,105.559998
2018-11-12,106.870003,46.650002,49.869999,103.870003
2018-11-13,106.940002,47.389998999999996,49.860001000000004,102.940002
2018-11-14,104.970001,47.09,49.759997999999996,101.529999
2018-11-15,107.279999,48.110001000000004,49.740002000000004,99.540001
2018-11-16,108.290001,48.830002,50.169998,97.690002
2018-11-19,104.620003,48.0,50.509997999999996,96.779999
2018-11-20,101.709999,47.389998999999996,49.380001,94.160004
2018-11-21,103.110001,47.029999,48.73,94.16999799999999
2018-11-23,103.07,46.540001000000004,49.02,95.099998
2018-11-26,106.470001,47.450001,48.869999,95.150002
2018-11-27,107.139999,48.07,49.369999,95.040001
2018-11-28,111.120003,48.860001000000004,49.709998999999996,97.459999
2018-11-29,110.190002,47.700001,48.98,97.290001
2018-11-30,110.889999,49.310001,50.400002,97.650002
2018-12-03,112.089996,50.130001,49.689999,98.75
2018-12-04,108.519997,47.75,49.580002,95.809998
2018-12-06,109.190002,48.369999,49.380001,94.769997
2018-12-07,104.82,46.240002000000004,49.09,93.190002
2018-12-10,107.589996,47.209998999999996,49.240002000000004,93.940002
2018-12-11,108.589996,47.380001,49.540001000000004,93.849998
2018-12-12,109.08000200000001,47.830002,49.220001,93.110001
2018-12-13,109.449997,48.290001000000004,49.470001,92.959999
2018-12-14,106.029999,47.860001000000004,49.34,91.849998
2018-12-17,102.889999,47.080002,48.330002,90.769997
2018-12-18,103.970001,47.740002000000004,48.32,91.08000200000001
2018-12-19,103.690002,45.57,47.900002,90.550003
2018-12-20,101.510002,45.540001000000004,47.540001000000004,87.279999
2018-12-21,98.230003,44.84,47.57,87.129997
2018-12-24,94.129997,43.59,45.959998999999996,85.82
2018-12-26,100.559998,46.189999,46.939999,90.410004
2018-12-27,101.18,46.360001000000004,47.529999,91.589996
2018-12-28,100.389999,46.75,47.200001,92.129997
